param-n,uconstr-I-1000-real,uconstr-I-1000-sys,uconstr-I-1000-user
1010,0.05,0.,0.05
1011,0.05,0.,0.05
1012,0.05,0.,0.05
1013,0.05,0.,0.05
1014,0.05,0.,0.05
1015,0.051,0.,0.051
1016,0.051,0.,0.05
1017,0.051,0.,0.051
1018,0.05,0.,0.05
1019,0.05,0.,0.05
1020,0.051,0.,0.051
1021,0.05,0.,0.05
1022,0.051,0.,0.051
1023,0.051,0.,0.051
1024,0.051,0.,0.051
1025,0.05,0.,0.05
1026,0.051,0.,0.051
1027,0.05,0.,0.05
1028,0.05,0.,0.05
1029,0.051,0.,0.051
1030,0.051,0.,0.051
1031,0.051,0.,0.051
1032,0.052,0.,0.052
1033,0.051,0.,0.051
1034,0.051,0.,0.051
1035,0.052,0.,0.052
1036,0.051,0.,0.051
1037,0.051,0.,0.051
1038,0.052,0.,0.052
1039,0.052,0.,0.052
1040,0.052,0.,0.052
1041,0.052,0.,0.052
1042,0.052,0.,0.052
1043,0.051,0.,0.051
1044,0.051,0.,0.051
1045,0.051,0.,0.051
1046,0.052,0.,0.052
1047,0.052,0.,0.052
1048,0.051,0.,0.051
1049,0.052,0.,0.052
1050,0.052,0.,0.052
1051,0.052,0.,0.052
