param-n build-and-open-real build-and-open-sys build-and-open-user open-constr-real open-constr-sys open-constr-user uconstr-real uconstr-sys uconstr-user
372 0.121 0. 0.121 0.115 0. 0.115 0.005 0. 0.005
373 0.11 0. 0.11 0.105 0. 0.105 0.005 0. 0.005
374 0.096 0. 0.096 0.09 0. 0.09 0.005 0. 0.005
375 0.091 0. 0.091 0.086 0. 0.086 0.005 0. 0.005
376 0.093 0. 0.093 0.088 0. 0.088 0.005 0. 0.005
377 0.093 0. 0.093 0.087 0. 0.087 0.005 0. 0.005
378 0.094 0. 0.094 0.088 0. 0.088 0.005 0. 0.005
379 0.109 0. 0.109 0.103 0. 0.103 0.005 0. 0.005
380 0.126 0. 0.126 0.12 0. 0.12 0.005 0. 0.005
381 0.115 0. 0.115 0.109 0. 0.109 0.005 0. 0.005
382 0.097 0. 0.097 0.091 0. 0.091 0.005 0. 0.005
383 0.096 0. 0.096 0.091 0. 0.091 0.005 0. 0.005
384 0.096 0. 0.096 0.09 0. 0.09 0.005 0. 0.005
385 0.097 0. 0.097 0.091 0. 0.091 0.005 0. 0.005
386 0.101 0. 0.101 0.096 0. 0.096 0.005 0. 0.005
387 0.134 0. 0.134 0.128 0. 0.128 0.005 0. 0.005
388 0.123 0. 0.123 0.117 0. 0.117 0.005 0. 0.005
389 0.111 0. 0.111 0.105 0. 0.105 0.005 0. 0.005
390 0.098 0. 0.098 0.092 0. 0.092 0.005 0. 0.005
391 0.1 0. 0.1 0.094 0. 0.094 0.005 0. 0.005
392 0.1 0. 0.1 0.094 0. 0.094 0.005 0. 0.005
393 0.103 0. 0.103 0.097 0. 0.097 0.005 0. 0.005
394 0.139 0. 0.139 0.132 0. 0.132 0.006 0. 0.006
395 0.127 0. 0.127 0.121 0. 0.121 0.005 0. 0.005
396 0.114 0. 0.114 0.108 0. 0.108 0.005 0. 0.005
