param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
290,0.012,0.,0.012,0.019,0.,0.019,0.008,0.,0.008,0.006,0.,0.006
291,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.006,0.,0.006
292,0.013,0.,0.013,0.02,0.,0.02,0.007,0.,0.007,0.006,0.,0.006
293,0.012,0.,0.012,0.02,0.,0.02,0.006,0.,0.006,0.007,0.,0.007
294,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.007,0.,0.007
295,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.007,0.,0.007
296,0.013,0.,0.013,0.02,0.,0.02,0.007,0.,0.007,0.007,0.,0.007
297,0.012,0.,0.012,0.021,0.,0.021,0.007,0.003,0.003,0.008,0.,0.008
298,0.013,0.,0.013,0.02,0.,0.02,0.007,0.,0.007,0.007,0.,0.007
299,0.012,0.,0.012,0.02,0.,0.02,0.007,0.,0.007,0.007,0.,0.007
300,0.014,0.,0.014,0.021,0.,0.021,0.007,0.,0.007,0.007,0.,0.007
305,0.013,0.,0.013,0.02,0.,0.02,0.008,0.,0.008,0.007,0.,0.007
310,0.013,0.,0.013,0.021,0.,0.021,0.008,0.,0.008,0.007,0.,0.007
315,0.013,0.,0.013,0.021,0.,0.021,0.008,0.,0.008,0.007,0.,0.007
320,0.014,0.,0.014,0.023,0.,0.023,0.008,0.,0.008,0.008,0.,0.008
325,0.015,0.,0.015,0.023,0.,0.023,0.008,0.,0.008,0.008,0.,0.008
330,0.014,0.,0.014,0.023,0.,0.023,0.01,0.,0.01,0.008,0.,0.008
335,0.014,0.,0.014,0.023,0.,0.023,0.009,0.,0.009,0.009,0.,0.009
340,0.014,0.,0.014,0.023,0.,0.023,0.009,0.,0.009,0.009,0.,0.009
345,0.015,0.,0.015,0.025,0.,0.025,0.009,0.,0.009,0.009,0.,0.009
350,0.015,0.,0.015,0.025,0.,0.025,0.01,0.,0.01,0.009,0.,0.009
355,0.016,0.,0.016,0.026,0.,0.026,0.009,0.,0.009,0.009,0.,0.009
360,0.016,0.,0.016,0.026,0.,0.026,0.01,0.,0.01,0.009,0.,0.009
365,0.015,0.,0.015,0.027,0.,0.027,0.009,0.,0.009,0.011,0.,0.011
370,0.015,0.,0.015,0.027,0.,0.027,0.011,0.,0.011,0.011,0.,0.011
375,0.016,0.,0.016,0.027,0.,0.027,0.011,0.,0.011,0.01,0.,0.01
380,0.016,0.,0.016,0.027,0.,0.027,0.012,0.,0.012,0.011,0.,0.011
385,0.016,0.,0.016,0.028,0.,0.028,0.012,0.,0.012,0.011,0.,0.011
390,0.016,0.,0.016,0.028,0.,0.028,0.013,0.,0.013,0.011,0.,0.011
395,0.016,0.,0.016,0.028,0.,0.028,0.013,0.,0.013,0.011,0.,0.011
400,0.017,0.,0.017,0.029,0.,0.029,0.014,0.,0.014,0.011,0.,0.011
410,0.017,0.,0.017,0.031,0.,0.031,0.012,0.,0.012,0.014,0.,0.014
420,0.017,0.,0.017,0.032,0.,0.032,0.013,0.,0.013,0.014,0.,0.014
430,0.02,0.,0.02,0.033,0.,0.033,0.013,0.,0.013,0.013,0.,0.013
440,0.019,0.,0.019,0.033,0.,0.033,0.014,0.,0.014,0.014,0.,0.014
450,0.021,0.,0.021,0.035,0.,0.035,0.015,0.,0.015,0.014,0.,0.014
460,0.02,0.,0.02,0.036,0.,0.036,0.015,0.,0.015,0.015,0.,0.015
470,0.02,0.,0.02,0.036,0.,0.036,0.017,0.,0.017,0.015,0.,0.015
480,0.02,0.,0.02,0.038,0.,0.038,0.016,0.,0.016,0.017,0.,0.017
